Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
15,Milwaukee Bucks,2-2,2-1,2-2,4-0,2-0,1-1,3-1,2-0,1-1,1-3,1-1,0-2,0-2,3-1,,0-2,2-2,2-2,3-1,2-2,2-2,0-2,2-0,0-2,0-2,1-1,2-2,0-2,2-1
16,Minnesota Timberwolves,2-0,0-2,2-0,2-0,2-2,4-0,1-1,3-1,2-2,0-2,3-1,2-2,4-0,1-1,2-0,,0-2,1-1,2-0,1-1,1-1,3-1,3-1,2-2,2-2,2-2,1-1,1-3,2-0
17,New Jersey Nets,3-1,3-1,2-2,2-2,0-2,2-0,1-2,1-1,1-1,2-1,1-1,2-0,1-1,4-0,2-2,2-0,,2-2,3-1,2-2,1-3,1-1,2-0,0-2,1-1,1-1,4-0,0-2,3-1
18,New Orleans Hornets,2-2,1-3,3-1,3-1,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,4-0,2-2,1-1,2-2,,3-1,1-3,2-1,2-0,0-2,1-1,0-2,2-0,4-0,2-0,2-1
19,New York Knicks,3-1,0-4,1-2,2-1,0-2,2-0,2-2,0-2,2-0,1-3,1-1,1-1,1-1,2-2,1-3,0-2,1-3,1-3,,2-2,2-2,2-0,0-2,1-1,2-0,1-1,3-1,1-1,2-2
20,Orlando Magic,1-2,2-3,3-1,4-0,1-1,2-0,1-2,1-1,0-2,1-2,1-1,1-1,0-2,4-0,2-2,1-1,2-2,3-1,2-2,,2-2,0-2,0-2,1-1,0-2,2-0,2-2,1-1,2-2
21,Philadelphia 76ers,1-3,2-2,3-1,4-0,0-2,2-0,2-2,0-2,0-2,2-2,2-0,1-1,2-0,4-0,2-2,1-1,3-1,1-2,2-2,2-2,,0-2,2-0,0-2,1-1,1-1,3-0,1-1,4-0
22,Phoenix Suns,2-0,2-0,1-1,2-0,2-2,3-1,1-1,2-2,1-3,1-1,3-1,1-3,3-1,0-2,2-0,1-3,1-1,0-2,0-2,2-0,2-0,,3-1,2-2,3-1,1-3,1-1,1-3,1-1
23,Portland Trail Blazers,2-0,1-1,1-1,2-0,2-2,2-2,2-0,4-0,3-1,2-0,3-1,2-2,3-1,2-0,0-2,1-3,0-2,2-0,2-0,2-0,0-2,1-3,,1-3,2-2,4-0,2-0,1-3,1-1
24,Sacramento Kings,1-1,2-0,2-0,2-0,3-1,4-0,1-1,4-0,2-2,2-0,3-1,2-2,4-0,1-1,2-0,2-2,2-0,1-1,1-1,1-1,2-0,2-2,3-1,,1-3,3-1,1-1,3-1,2-0
25,San Antonio Spurs,1-1,2-0,2-0,2-0,2-2,3-1,2-0,3-1,3-1,2-0,3-1,4-0,3-1,2-0,2-0,2-2,1-1,2-0,0-2,2-0,1-1,1-3,2-2,3-1,,3-1,2-0,4-0,1-1
26,Seattle SuperSonics,1-1,0-2,2-0,1-1,2-2,3-1,1-1,2-2,2-2,0-2,3-1,2-2,3-1,2-0,1-1,2-2,1-1,0-2,1-1,0-2,1-1,3-1,0-4,1-3,1-3,,2-0,2-2,1-1
27,Toronto Raptors,3-1,2-1,2-2,1-3,0-2,1-1,1-3,0-2,0-2,1-3,1-1,0-2,1-1,0-4,2-2,1-1,0-4,0-4,1-3,2-2,0-3,1-1,0-2,1-1,0-2,0-2,,0-2,3-1
28,Utah Jazz,1-1,1-1,1-1,1-1,2-2,4-0,0-2,2-2,3-1,1-1,3-1,1-3,3-1,2-0,2-0,3-1,2-0,0-2,1-1,1-1,1-1,3-1,3-1,1-3,0-4,2-2,2-0,,1-1
29,Washington Wizards,2-2,3-1,3-1,4-0,0-2,1-1,1-3,0-2,1-1,2-2,2-0,1-1,1-1,3-1,1-2,0-2,1-3,1-2,2-2,2-2,0-4,1-1,1-1,0-2,1-1,1-1,1-3,1-1,
